"Time","CO2_Interieur_Sud.mean","CO2_Interieur_Nord.mean","CO2_E4000.mean","COV_E4000.mean  x100"
"2019-04-25-06",327.10925,305.858,315.28825,29.64975
"2019-04-25-07",326.0825,309.05575,315.64525,29.30025
"2019-04-25-08",325.68775,309.72525,314.18925,28.6835
"2019-04-25-09",354.4365,348.016,355.07975,28.63325
"2019-04-25-10",419.21125,414.91475,422.55475,31.01675
"2019-04-25-11",471.52525,461.19475,453.63175,31.7335
"2019-04-25-12",414.544,406.0215,399.76725,28.6835
"2019-04-25-13",454.65075,448.2665,448.5295,32.2665
"2019-04-25-14",488.2315,476.26675,475.4615,38.71675
"2019-04-25-15",489.2545,492.4215,489.688,39.9335
"2019-04-25-16",483.14125,471.41325,470.19025,42.91025
"2019-04-25-17",431.13425,418.4695,416.4095,39.4065
"2019-04-25-18",402.3825,390.04275,389.1975,39.59075
"2019-04-25-19",387.6745,369.2275,374.2205,38.48925
"2019-04-25-20",368.6325,358.42675,360.07,35.98325
"2019-04-25-21",366.80525,350.44825,352.352,38.25
"2019-04-25-22",361.66925,342.7465,350.8375,43.26675
"2019-04-25-23",358.864,338.54975,347.49325,44.55025
"2019-04-26-00",354.08525,334.2735,339.5095,44.75
"2019-04-26-01",355.43975,337.98375,339.50925,48.3665
"2019-04-26-02",350.59225,337.5465,336.816,49.78325
"2019-04-26-03",336.50325,335.2025,335.4745,51.58325
"2019-04-26-04",345.0505,334.1465,331.056,51.11675
"2019-04-26-05",342.14925,328.4305,330.8535,50.7835
"2019-04-26-06",341.90925,324.48275,324.64275,50.86675
"2019-04-26-07",338.98675,321.968,327.525,51.2
"2019-04-26-08",338.96,321.4145,325.3095,51.95
"2019-04-26-09",376.6935,359.197,367.352,50.4665
"2019-04-26-10",372.2825,356.78475,370.78925,40.43325
"2019-04-26-11",402.272,404.67725,401.86675,33.31675
"2019-04-26-12",411.4805,398.1555,402.37325,43.4335
"2019-04-26-13",392.416,376.59175,380.70925,47.68325
"2019-04-26-14",378.1065,364.70175,368.99725,50.75025
"2019-04-26-15",367.8505,356.77325,359.61625,52.3835
"2019-04-26-16",357.39325,343.2535,351.27725,54
"2019-04-26-17",351.80125,344.096,347.2825,54.34975
"2019-04-26-18",355.62425,340.4855,342.79725,56.03325
"2019-04-26-19",352.991,334.7055,345.072,59.31675
"2019-04-26-20",358.309,341.0345,345.7945,61.36675
"2019-04-26-21",359.83475,346.1815,347.912,62.0165
"2019-04-26-22",359.4455,346.0105,347.04,62.95
"2019-04-26-23",364.76825,347.205,349.5145,63.3335
"2019-04-27-00",364.768,348.6345,348.9305,64.13325
"2019-04-27-01",364.8905,348.45325,349.896,63.9
"2019-04-27-02",360.256,343.65875,348.86425,63.7835
"2019-04-27-03",355.391,341.52,346.19475,64.59975
"2019-04-27-04",359.9625,342.96,347.00525,64.2
"2019-04-27-05",350.47125,340.192,345.2745,64.81675
"2019-04-27-06",350.54075,338.192,344.848,64.98325
"2019-04-27-07",356.048,339.26675,344.712,65.35
"2019-04-27-08",356.08025,341.344,344.936,66.03325
"2019-04-27-09",354.42325,341.36525,343.39725,66.18325
"2019-04-27-10",351.904,337.50675,343.88,66.8835
"2019-04-27-11",348.752,334.30375,339.024,68.2665
"2019-04-27-12",347.65675,334.117,335.98925,70.1165
"2019-04-27-13",345.0605,332.83475,338.28525,72.3665
"2019-04-27-14",347.936,325.655,334.5735,73.58325
"2019-04-27-15",350.19725,331.64275,337.92,74.64975
"2019-04-27-16",349.296,333.59725,340.0695,77.86675
"2019-04-27-17",352.02125,337.5625,341.63175,79.06675
"2019-04-27-18",353.54625,338.66675,346.24,78.7335
"2019-04-27-19",358.06425,342.427,346.81625,78
"2019-04-27-20",354.18775,337.5285,350.24,78.66675
"2019-04-27-21",363.936,346.6985,351.104,79.45
"2019-04-27-22",362.4625,343.7125,352.224,79.4
"2019-04-27-23",364.0745,345.57,354.64025,79.76675
"2019-04-28-00",367.0935,349.46675,350.1625,79.23325
"2019-04-28-01",367.328,350,354.92775,78.15
"2019-04-28-02",360.69675,343.38775,355.55725,77.16675
"2019-04-28-03",368.4055,349.77225,351.86125,76.3835
"2019-04-28-04",364.77325,351.824,351.744,74.8
"2019-04-28-05",365.12,345.44,348.2455,72.54975
"2019-04-28-06",360.256,346.096,350.02925,71.41675
"2019-04-28-07",357.06125,340.832,346.0105,70.56675
"2019-04-28-08",357.6465,339.28,346.797,69.183
"2019-04-28-09",354.272,341.33875,343.6185,67.85
"2019-04-28-10",349.3895,336.03725,342.181,67.36675
"2019-04-28-11",349.29075,324.27075,337.53325,66.83325
"2019-04-28-12",340.9215,330.91475,337.56,66.81675
"2019-04-28-13",339.4075,329.19975,336.024,66.1
"2019-04-28-14",346.2185,327.5785,334.4695,66.28325
"2019-04-28-15",346.39975,327.5705,331.32275,65.35
"2019-04-28-16",339.84125,322.30375,332.152,65.53325
"2019-04-28-17",347.79225,327.79725,334.23475,66.0335
"2019-04-28-18",347.10425,330.22675,334.1735,66.35
"2019-04-28-19",346.864,329.552,333.088,67.43325
"2019-04-28-20",347.56825,328.1975,336.13325,67.58325
"2019-04-28-21",349.03975,333.34675,333.94675,67.53325
"2019-04-28-22",350.2135,333.36275,338.81625,67.25025
"2019-04-28-23",351.96825,335.104,337.6935,66.81675
"2019-04-29-00",347.51025,335.1785,336.83475,66.16675
"2019-04-29-01",353.2585,336.60775,335.896,65.98325
"2019-04-29-02",350.4,334.568,336.736,64.85
