"Time","Temperature_Interieur_Sud.mean","Temperature_Interieur_Nord.mean","Temperature_E4000.mean","Temperature_ressentie_E4000.mean","Station_Meteo_Text","Mur_Temp_1_1.mean"
"2019-09-05-19",23.6633333333333,22.8816666666667,24.6666666666667,24.6666666666667,18.0416666666667,22.4816666666667
"2019-09-05-20",23.4833333333333,22.7766666666667,24.5333333333333,24.5333333333333,18.2916666666667,22.3783333333333
"2019-09-05-21",23.32,22.6666666666667,24.4416666666667,24.4416666666667,18.0333333333333,22.2608333333333
"2019-09-05-22",23.1383333333333,22.5533333333333,24.3333333333333,24.3333333333333,17.3,22.1375
"2019-09-05-23",22.96,22.445,24.2,24.2,16.6083333333333,21.9941666666667
"2019-09-06-00",22.7866666666667,22.3216666666667,24.1083333333333,24.1083333333333,15.7166666666667,21.8508333333333
"2019-09-06-01",22.565,22.2033333333333,24.025,24.025,14.1833333333333,21.6933333333333
"2019-09-06-02",22.3483333333333,22.0683333333333,23.9,23.9,14.4833333333333,21.5225
"2019-09-06-03",22.14,21.9033333333333,23.75,23.75,14.9666666666667,21.3275
"2019-09-06-04",21.9283333333333,21.7366666666667,23.6083333333333,23.6083333333333,14.5,21.1508333333333
"2019-09-06-05",21.72,21.56,23.4333333333333,23.4333333333333,13.9,20.9541666666667
"2019-09-06-06",21.5133333333333,21.3966666666667,23.2333333333333,23.2333333333333,14.3,20.76
"2019-09-06-07",21.315,21.2233333333333,23.1083333333333,23.1083333333333,13.9083333333333,20.5725
"2019-09-06-08",21.2983333333333,21.0983333333333,22.9583333333333,22.9583333333333,14.8416666666667,20.4183333333333
"2019-09-06-09",21.2816666666667,21.0016666666667,22.775,22.775,16.125,20.2916666666667
"2019-09-06-10",21.3366666666667,20.955,22.8916666666667,22.8916666666667,17.0416666666667,20.1675
"2019-09-06-11",21.4016666666667,20.955,22.9166666666667,22.9166666666667,17,20.1208333333333
"2019-09-06-12",21.2566666666667,20.9,22.7833333333333,22.7833333333333,16.4666666666667,20.1025
"2019-09-06-13",20.985,20.7,22.6416666666667,22.6416666666667,17.25,20.0475
"2019-09-06-14",20.8933333333333,20.635,22.5666666666667,22.5666666666667,16.975,19.9908333333333
"2019-09-06-15",20.845,20.5816666666667,22.475,22.475,17.0666666666667,19.9358333333333
"2019-09-06-16",20.7666666666667,20.535,22.4166666666667,22.4166666666667,17.6416666666667,19.9075
"2019-09-06-17",20.7133333333333,20.4966666666667,22.3416666666667,22.3416666666667,17.425,19.8758333333333
"2019-09-06-18",20.65,20.4608333333333,22.225,22.225,17.1166666666667,19.8408333333333
"2019-09-06-19",20.5933333333333,20.4158333333333,22.125,22.125,17.2,19.8
"2019-09-06-20",20.5266666666667,20.375,22.1,22.1,16.7166666666667,19.7525
"2019-09-06-21",20.4625,20.3208333333333,22.1,22.1,16.2583333333333,19.7066666666667
"2019-09-06-22",20.3775,20.2683333333333,22.075,22.075,15.9416666666667,19.65
"2019-09-06-23",20.3025,20.2025,22,22,15.7083333333333,19.585
"2019-09-07-00",20.2175,20.1425,21.8833333333333,21.8833333333333,15.475,19.5041666666667
"2019-09-07-01",20.1233333333333,20.0716666666667,21.8166666666667,21.8166666666667,15.5916666666667,19.4266666666667
"2019-09-07-02",20.0291666666667,19.9891666666667,21.6833333333333,21.6833333333333,15.55,19.3441666666667
